SKU;Name;Unit;Category
ΕΙΔΗ-00000118;Εξαιρετικό παρθένο ελαιόλαδο με μαύρη τρούφα, bottle 50ml;pcs;Finished Product
ΕΙΔΗ-00000119;Εξαιρετικό παρθένο ελαιόλαδο με λεμόνι, bottle 50ml;pcs;Finished Product
ΕΙΔΗ-00000120;Συσκευασία δώρου (Evoo 500ml ,Red fruit vinegar bottle 200ml);pcs;Finished Product
07-0000100;Εξωτερικό κουτάκι--Κρητικά κριτσίνια καρότου, 120gr EU;pcs;Packaging
07-0000103;Εξωτερικό κουτάκι--Κρητικά κουλουράκια κανέλας, 120gr EU;pcs;Packaging
07-0000104;Εξωτερικό κουτάκι--Κρητικά κουλουράκια μανταρινιού, 120gr EU;pcs;Packaging
07-0000105;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με γραβιέρα, 60gr EU;pcs;Packaging
07-0000106;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 60gr EU;pcs;Packaging
07-0000107;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 60gr EU;pcs;Packaging
07-0000108;Εξωτερικό κουτάκι--Κρητικά κριτσίνια καρότου, 120gr US;pcs;Packaging
07-0000109;Εξωτερικό κουτάκι--Κρητικά κουλουράκια κανέλας, 120gr US;pcs;Packaging
07-0000110;Εξωτερικό κουτάκι--Κρητικά κουλουράκια μανταρινιού, 120gr US;pcs;Packaging
07-0000111;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με γραβιέρα, 60gr US;pcs;Packaging
07-0000112;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 60gr US;pcs;Packaging
07-0000117;Εξωτερικό κουτάκι--Κρητικά κριτσίνια καρότου, 120gr UK;pcs;Packaging
07-0000116;Εξωτερικό κουτάκι--Κρητικά κουλουράκια κανέλας, 120gr UK;pcs;Packaging
07-0000115;Εξωτερικό κουτάκι--Κρητικά κουλουράκια μανταρινιού, 120gr UK;pcs;Packaging
07-0000114;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με γραβιέρα, 60gr UK;pcs;Packaging
07-0000113;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 60gr UK;pcs;Packaging
07-0000118;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 60gr UK;pcs;Packaging
07-0000119;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 60gr US;pcs;Packaging
ΕΙΔΗ-00000165;Υλικά συσκευασίας--gift box 4x50ml EU;pcs;Packaging
ΕΙΔΗ-00000166;Υλικά συσκευασίας--gift box 4x50ml US;pcs;Packaging
ΕΙΔΗ-00000167;Υλικά συσκευασίας--gift box 4x50ml AU;pcs;Packaging
ΕΙΔΗ-00000168;Υλικά συσκευασίας--κυψελες 50ml 24αδα;pcs;Packaging
07-0000215;Ξύδι Βιολογικο 200ml;pcs;Raw Material
07-0000216;ΚΕΝΤΗΜΑ CANVAS 71x53cm;pcs;Raw Material
07-0000217;ΤΑΙΝΙΑ-ΙΜΑΝΤΑΣ SPUN POL. 23mm;meters;Raw Material
07-0000218;Korean Neck Tags;pcs;Raw Material
07-0000219;KR Lbl back olive oil chili 200ml;pcs;Raw Material
07-0000220;KR Lbl back olive oil truffle 200ml;pcs;Raw Material
07-0000221;KR Lbl back olive oil lemon 200ml;pcs;Raw Material
07-0000222;KR Lbl back olive oil basil 200ml;pcs;Raw Material
07-0000223;KR Lbl back olive oil garlic 200ml;pcs;Raw Material
07-0000328;ΒΑΖΟ 0,215 L STAR D;pcs;Packaging
ΕΙΔΗ-00000222;KR Εξαιρετικό παρθένο ελαιόλαδο, 50ml_Valentine;pcs;Finished Product
07-0000273;Καρτποστάλ Τάρανδος;pcs;Finished Product
07-0000274;Καρτποστάλ Άγιος Βασίλης;pcs;Finished Product
07-0000275;Καρτποστάλ Μπισκότο;pcs;Finished Product
07-0000276;Καρτποστάλ Χριστουγεννιάτικο Δέντρο;pcs;Finished Product
07-0000277;Καρτποστάλ Αστέρι;pcs;Finished Product
07-0000278;Καρτποστάλ Χιονάνθρωπος;pcs;Finished Product
05-0000104;Christmas Postcards-set of 6;pcs;Finished Product
09-0000001;Bio Propolis Dry Extract Esit 6;kg;Raw Material
07-0000332;Τελάρο μεταξοτυπίας;pcs;Packaging
07-0000333;Κλισέ φλεξογραφίας;pcs;Packaging
07-0000334;US Lbl back olive oil tomato 6.8fl oz;pcs;Packaging
07-0000335;US Lbl round olive oil tomato 6.8fl oz;pcs;Packaging
07-0000351;BOTT. VECCHIA FARMACIA 50cc FLINT WHITE FLANGE RING;pcs;Packaging
07-0000352;BOT. ANTICA FARMACIA 500cc FLINT WHITE FLANGE RING;pcs;Packaging
07-0000353;BOT. ANTICA FARMACIA 200cc FLINT WHITE FLANGE RING;pcs;Packaging
02-0000055;KR Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml;pcs;Finished Product
07-0000205;ΚΑΜΠΑΡΝΤΙΝΑ 80%P-20%C 200gr;meters;Raw Material
ΕΙΔΗ-00000193;KR Εξαιρετικό παρθένο ελαιόλαδο, can 100ml;pcs;Finished Product
ΕΙΔΗ-00000194;Εξαιρετικό παρθένο ελαιόλαδο, 50ml_Valentine;pcs;Finished Product
07-0000288;Ξύδι Βαλσαμικο 200ml;pcs;Raw Material
05-0000105;Χριστουγεννιάτικο στολίδι Αστέρι;pcs;Finished Product
05-0000106;Χριστουγεννιάτικο στολίδι Γιαγιά;pcs;Finished Product
02-0000087;US Εξαιρετικό παρθένο ελαιόλαδο - Harvest of love 2x500ml;pcs;Finished Product
07-0000289;ΦΙΑΛΗ 50ml VECCHIA FARMACIA A FLINT - ΒΑΜΜΕΝΗ - D12270 - “YIAYIA XMAS TREE”;pcs;Raw Material
07-0000290;ΦΙΑΛΗ 50ml VECCHIA FARMACIA A FLINT - ΒΑΜΜΕΝΗ - D12269 - “YIAYIA SANTA”;pcs;Raw Material
07-0000291;ΦΙΑΛΗ 50ml VECCHIA FARMACIA A FLINT - ΒΑΜΜΕΝΗ - D12271 - “YIAYIA XMAS STAR”;pcs;Raw Material
07-0000292;ΦΙΑΛΗ 50ml VECCHIA FARMACIA A FLINT - ΒΑΜΜΕΝΗ - D12272 - “YIAYIA XMAS REINDEER”;pcs;Raw Material
07-0000293;ΦΙΑΛΗ 50ml VECCHIA FARMACIA A FLINT - ΒΑΜΜΕΝΗ - D12273 - “YIAYIA XMAS SNOWMAN”;pcs;Raw Material
07-0000294;ΦΙΑΛΗ 50ml VECCHIA FARMACIA A FLINT - ΒΑΜΜΕΝΗ - D12274 - “YIAYIA XMAS BELL”;pcs;Raw Material
07-0000296;Καρτποστάλ Περιστερι μωβ;pcs;Finished Product
07-0000297;Καρτποστάλ Κύκνος;pcs;Finished Product
07-0000298;Καρτποστάλ Σκατζοχοιρος;pcs;Finished Product
07-0000299;Καρτποστάλ Fragile;pcs;Finished Product
07-0000300;Καρτποστάλ Yiayia face;pcs;Finished Product
07-0000301;Καρτποστάλ Yiayia flower;pcs;Finished Product
07-0000302;Καρτποστάλ Yiayia animals;pcs;Finished Product
07-0000303;Καρτποστάλ Yiayia bird;pcs;Finished Product
07-0000304;Καρτποστάλ sun bird;pcs;Finished Product
07-0000305;Καρτποστάλ Περιστέρι;pcs;Finished Product
07-0000306;Καρτποστάλ Κυκνος Μωβ-Κιτρινο;pcs;Finished Product
07-0000307;Εξωτερικό κουτί - Συσκευασία δώρου christmas edition ( 6x50ml );pcs;Raw Material
07-0000308;KR Lbl back olive oil Limited Love Edition 500ml;pcs;Raw Material
ΕΙΔΗ-00000123;Συσκευασία δώρου evoo, evoo chilli, evoo basil, evoo garlic ( 4x50ml );pcs;Finished Product
ΕΙΔΗ-00000124;Άδειος τενεκές, can 500ml;pcs;Packaging
07-0000101;Άδειο μπουκάλι 500ml;pcs;Raw Material
07-0000102;Άδειο μπουκάλι 50ml;pcs;Raw Material
ΕΙΔΗ-00000181;ΠΙΣΤΟΛΙ ΘΕΡΜΟΥ ΑΕΡΑ TOTAL 2000W;pcs;Fixed costs
05-0000119;Καπέλο jockey με κέντημα;pcs;Finished Product
07-0000322;Άδειο μπουκάλι 350ml;pcs;Raw Material
02-0000042;Εξαιρετικό παρθένο ελαιόλαδο, Παλετοδεξαμενή IBC;litres;Finished Product
07-0000246;Παλετοδεξαμενές;pcs;Raw Material
07-0000269;KR Lbl back olive oil christmas 500ml;pcs;Raw Material
07-0000270;EU LBL yiayia white organic balsamic vinegar;pcs;Raw Material
07-0000271;Pack Caps Ter. 41.5x35 Vetricale 20mm Vetroelite;pcs;Raw Material
02-0000077;KR Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml_Harvest of love yellow;pcs;Finished Product
02-0000078;KR Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml_Harvest of love blue;pcs;Finished Product
02-0000079;Εξαιρετικό παρθένο ελαιόλαδο Χριστουγεννιάτικο δέντρο bottle 50ml;pcs;Finished Product
02-0000080;Εξαιρετικό παρθένο ελαιόλαδο Αστέρι bottle 50ml;pcs;Finished Product
02-0000081;Εξαιρετικό παρθένο ελαιόλαδο Χιονάνθρωπος bottle 50ml;pcs;Finished Product
02-0000082;Εξαιρετικό παρθένο ελαιόλαδο Τάρανδος bottle 50ml;pcs;Finished Product
02-0000083;Εξαιρετικό παρθένο ελαιόλαδο Καμπανακι bottle 50ml;pcs;Finished Product
02-0000084;Συσκευασία δώρου evoo Χριστουγεννιάτικη έκδοση ( 6x50ml );pcs;Finished Product
02-0000085;Εξαιρετικό παρθένο ελαιόλαδο Άγιος Βασίλης bottle 50ml;pcs;Finished Product
05-0000100;Χαρτι Περιτυλίγματος Μαυρο Μιξ;pcs;Finished Product
05-0000101;Χαρτι Περιτυλίγματος Κόκκινος Τάρανδος;pcs;Finished Product
05-0000102;Χαρτι Περιτυλίγματος Κίτρινο Αστέρι;pcs;Finished Product
05-0000103;Χαρτι Περιτυλίγματος Ρόζ Δέντρο;pcs;Finished Product
ΕΙΔΗ-00000034;US Ξύδι από χυμό εσπεριδοειδών, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000035;US Ξύδι από χυμό κόκκινων φρούτων, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000048;Σελιδοδείκτης Ροζ;pcs;Finished Product
ΕΙΔΗ-00000049;Σελιδοδείκτης Μπλε;pcs;Finished Product
07-0000005;Καρτποστάλ Yiayia and friends;pcs;Finished Product
07-0000006;Καρτποστάλ Μπλε Μάτια;pcs;Finished Product
07-0000007;Καρτποστάλ Yiayia και παγώνι;pcs;Finished Product
07-0000008;Καρτποστάλ Yiayia και ακρίδα;pcs;Finished Product
07-0000009;Καρτποστάλ Yiayia cooking;pcs;Finished Product
08-0000000;KR Bio Greek Mountain Tea;pcs;Finished Product
08-0000001;KR Mountain tea and Mint;pcs;Finished Product
08-0000002;KR Mountain tea and Lavender;pcs;Finished Product
08-0000003;KR Mountain tea and Dittany;pcs;Finished Product
05-0000079;Eyes glass cup;pcs;Finished Product
05-0000080;Worm glass cup;pcs;Finished Product
05-0000081;Bird glass cup;pcs;Finished Product
05-0000082;Cat glass cup;pcs;Finished Product
07-0000314;Κυψέλη 8 θέσεων ψηλή;pcs;Finished Product
07-0000315;Κυψέλη 8 θέσεων χαμηλή;pcs;Finished Product
07-0000316;yiayia tomato 50ml Berlin;pcs;Raw Material
07-0000317;EU Sticker olive oil lemon 200ml round ανάγλυφα;pcs;Raw Material
07-0000318;EU Sticker olive oil truffle 200ml round ανάγλυφα;pcs;Raw Material
07-0000319;EU Sticker olive oil garlic 200ml round ανάγλυφα;pcs;Raw Material
07-0000320;EU Sticker olive oil basil 200ml round ανάγλυφα;pcs;Raw Material
07-0000321;EU Sticker olive oil chili 200ml round ανάγλυφα;pcs;Raw Material
ΕΙΔΗ-00000127;Καρέκλα;pcs;Finished Product
05-0000051;ΜΑΞΙΛΑΡΙ ΜΑΥΡΟ ΜΕ ΜΑΤΙΑ 168 x 34 KR;pcs;Finished Product
05-0000052;ΜΑΞΙΛΑΡΙ ΜΠΛΕ ΜΕ ΜΑΤΙΑ 168 x 34 KR;pcs;Finished Product
05-0000053;ΜΑΞΙΛΑΡΙ ΠΟΡΤΟΚΑΛΙ 168 x 34 KR;pcs;Finished Product
05-0000054;ΜΑΞΙΛΑΡΙ ΠΟΡΤΟΚΑΛΙ 88 x 34 KR;pcs;Finished Product
05-0000055;MΑΞΙΛΑΡΙ ΛΙΛΑ 88 x 34 KR;pcs;Finished Product
05-0000056;ΜΑΞΙΛΑΡΙ ΛΕΥΚΟ ΜΕ ΗΛΙΟ 88 x 34 KR;pcs;Finished Product
05-0000057;ΜΑΞΙΛΑΡΙ ΠΡΑΣΙΝΟ ΜΕ ΓΑΤΑ 88 x 34 KR;pcs;Finished Product
ΕΙΔΗ-00000144;Εξαιρετικό παρθένο ελαιόλαδο με λεμόνι, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000145;Εξαιρετικό παρθένο ελαιόλαδο με τρούφα, bottle 200ml;pcs;Finished Product
07-0000120;Χ/Β 24ΤΜΧ;pcs;Packaging
07-0000207;ΚΑΜΠΑΡΝΤΙΝΑ ΒΑΜΒΑΚΙ 100%;meters;Raw Material
05-0000097;Tote bag Blue;pcs;Finished Product
07-0000208;Καρτελάκια 7Χ10  COACHELLO;pcs;Raw Material
03-0000014;US Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 70gr;pcs;Finished Product
07-0000209;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 70gr US;pcs;Raw Material
03-0000015;US Κρητικά παξιμαδάκια με γραβιέρα, 70gr;pcs;Finished Product
07-0000210;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με γραβιέρα, 70gr US;pcs;Raw Material
03-0000016;US Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 70gr;pcs;Finished Product
07-0000211;Εξωτερικό κουτάκι--Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 70gr US;pcs;Raw Material
07-0000212;Εξωτερικό κουτί- Bio Greek Mountain Tea EU;pcs;Raw Material
07-0000213;Εξωτερικό κουτί- Bio Greek Mountain Tea Mint EU;pcs;Raw Material
07-0000214;Εξωτερικό κουτί- Bio Greek Mountain Tea Dittany EU;pcs;Raw Material
ΕΙΔΗ-00000169;US Βίδες λαχανικών με παντζάρι, καρότο, σπανάκι, 400gr;pcs;Finished Product
ΕΙΔΗ-00000170;Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml_Valentine;pcs;Finished Product
ΕΙΔΗ-00000171;US Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml_Valentine;pcs;Finished Product
ΕΙΔΗ-00000172;KR Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml_Valentine;pcs;Finished Product
04-0000010;AU Συσκευασία δώρου (Evoo 500ml ,Organic aged balsamic vinegar, bottle 200ml);pcs;Finished Product
07-0000229;Εξωτερικό κουτί-Συσκευασία δώρου (Evoo 500ml ,Organic vinegar bottle 200ml));pcs;Raw Material
04-0000011;AU Βιολογικό παλαιωμένο βαλσάμικο ξύδι, bottle 200ml;pcs;Finished Product
07-0000230;AU Lbl back Yiayia gift box ( 200ml & 500ml );pcs;Raw Material
07-0000231;Pesto Rosso;pcs;Finished Product
08-0000004;Greek Organic Olympus Mountain Tea 12 tea bags (15.6g);pcs;Finished Product
07-0000232;Εξωτερικό κουτί- Bio Greek Mountain Tea UK;pcs;Raw Material
07-0000233;Εξωτερικό κουτί- Bio Greek Mountain Tea US;pcs;Raw Material
07-0000234;Εξωτερικό κουτί- Bio Greek Mountain Tea Mint UK;pcs;Raw Material
07-0000235;Εξωτερικό κουτί- Bio Greek Mountain Tea Mint US;pcs;Raw Material
07-0000236;Εξωτερικό κουτί- Bio Greek Mountain Tea Dittany UK;pcs;Raw Material
07-0000237;Εξωτερικό κουτί- Bio Greek Mountain Tea Dittany US;pcs;Raw Material
07-0000238;Εξωτερικό κουτί- Bio Greek Mountain Tea Lavender US;pcs;Raw Material
07-0000239;Εξωτερικό κουτί- Bio Greek Mountain Tea Lavender UK;pcs;Raw Material
07-0000240;Εξωτερικό κουτί- Bio Greek Mountain Tea Lavender EU;pcs;Raw Material
07-0000241;Bio Σιδερίτης Scardica;kg;Finished Product
07-0000242;Bio Σιδερίτης Syriaca;kg;Finished Product
07-0000243;Bio Λεβάντα Ανθός;kg;Finished Product
07-0000244;Bio Δίκταμος;kg;Finished Product
07-0000245;Bio Μέντα;kg;Finished Product
08-0000005;UK Greek Organic Olympus Mountain Tea 12 tea bags (15.6g);pcs;Finished Product
08-0000006;US Greek Organic Olympus Mountain Tea 12 tea bags (15.6g);pcs;Finished Product
08-0000007;Greek Organic Mountain Tea and Mint 12 tea bags (15.6g);pcs;Finished Product
08-0000008;UK Greek Organic Mountain Tea and Mint 12 tea bags (15.6g);pcs;Finished Product
08-0000009;US Greek Organic Mountain Tea and Mint 12 tea bags (15.6g);pcs;Finished Product
08-0000010;Greek Organic Mountain Tea and Dittany 12 tea bags (15.6g);pcs;Finished Product
08-0000011;UK Greek Organic Mountain Tea and Dittany 12 tea bags (15.6g);pcs;Finished Product
08-0000012;US Greek Organic Mountain Tea and Dittany 12 tea bags (15.6g);pcs;Finished Product
08-0000013;Greek Organic Mountain Tea and Lavender 12 tea bags (15.6g);pcs;Finished Product
08-0000014;UK Greek Organic Mountain Tea and Lavender 12 tea bags (15.6g)Lavender;pcs;Finished Product
08-0000015;US Greek Organic Mountain Tea and Lavender 12 tea bags (15.6g);pcs;Finished Product
08-0000016;KR Bio Greek Mountain Tea;pcs;Finished Product
08-0000017;KR Mountain tea and Mint;pcs;Finished Product
08-0000018;KR Mountain tea and Lavender;pcs;Finished Product
08-0000019;KR Mountain tea and Dittany;pcs;Finished Product
07-0000253;KR yiayia can evoo 500ml;pcs;Raw Material
07-0000254;Βίδες Φ24 Μαύρες πλαστικές μη βυθιζόμενες;pcs;Raw Material
07-0000255;Πώμα Αλ. Βιδ. Μον. 25x17 μαύρο;pcs;Raw Material
07-0000256;Τελάρα Ξύλινα;pcs;Packaging
07-0000257;Χαρτόνια ενδιάμεσα;pcs;Packaging
ΕΙΔΗ-00000001;Περιβαλλοντικό Τέλος - Σακούλα;pcs;Finished Product
07-0000323;White animals Χ/Β 8x750ml (21,6*14,6*27,6) DS SMITH;pcs;Packaging
07-0000324;White animals Χ/Β 8x500ml (21,6*14,6*20) DS SMITH;pcs;Packaging
07-0000325;White animals Χ/Β 16x250ml (21,6*14,6*25,2) DS SMITH;pcs;Packaging
07-0000326;White animals Χ/Β 16x100ml (21,6*14,6*18,2) DS SMITH;pcs;Packaging
02-0000093;AU Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml_Valentine;pcs;Finished Product
07-0000327;AU Lbl back olive oil 500ml valentine;pcs;Raw Material
07-0000260;Εξωτερικο κουτί-Εξαιρετικο παρθένο ελαιόλαδο, bottle 500ml-Christmas US;pcs;Packaging
02-0000070;US Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml-Christmas;pcs;Finished Product
07-0000261;KR yiayia can evoo 250ml;pcs;Raw Material
07-0000262;EU yiayia can evoo 500ml;pcs;Raw Material
07-0000263;US yiayia can evoo 500ml;pcs;Raw Material
07-0000264;EU yiayia can evoo 750ml;pcs;Raw Material
07-0000265;KR yiayia can evoo 750ml;pcs;Raw Material
07-0000267;US yiayia can evoo 750ml;pcs;Raw Material
02-0000071;AU Εξαιρετικό παρθένο ελαιόλαδο με βασιλικό, bottle 200ml;pcs;Finished Product
02-0000072;AU Εξαιρετικό παρθένο ελαιόλαδο με πιπεριά τσίλι, bottle 200ml;pcs;Finished Product
02-0000073;AU Εξαιρετικό παρθένο ελαιόλαδο με σκόρδο, bottle 200ml;pcs;Finished Product
02-0000074;AU Εξαιρετικό παρθένο ελαιόλαδο με λεμόνι, bottle 200ml;pcs;Finished Product
02-0000075;AU Εξαιρετικό παρθένο ελαιόλαδο με τρούφα, bottle 200ml;pcs;Finished Product
02-0000076;AU Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml;pcs;Finished Product
07-0000268;AU Lbl back olive oil 500ml;pcs;Raw Material
07-0000247;US Εξωτερικό κουτί - Συσκευασία δώρου evoo,evoo chilli,basil, garlic, lemon,truffle( 6x50ml );pcs;Raw Material
02-0000062;US Συσκευασία δώρου evoo, evoo chilli, evoo basil, evoo garlic, evoo lemon, evoo truffle (6x50ml);pcs;Finished Product
02-0000063;Εξαιρετικό παρθένο ελαιόλαδο, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000064;Εξαιρετικό παρθένο ελαιόλαδο με βασιλικό, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000065;Εξαιρετικό παρθένο ελαιόλαδο με λεμόνι, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000066;Εξαιρετικό παρθένο ελαιόλαδο με πιπεριά τσίλι, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000067;Εξαιρετικό παρθένο ελαιόλαδο με σκόρδο, Παλετοδεξαμενή IBC;litres;Finished Product
07-0000248;Oil EVOO ΧΥΜΑ Μποτζάκη;litres;Raw Material
07-0000249;Oil EVOO with lemon ΧΥΜΑ Μποτζάκη;litres;Raw Material
07-0000250;KR yiayia chuseok 500ml Berlin;pcs;Raw Material
07-0000251;Δίχτυ συσκευασίας 18cm Berlin;pcs;Raw Material
07-0000224;KR LBL yiayia aged organic balsamic vinegar;pcs;Raw Material
07-0000225;KR yiayia black 500ml Vetroellite;pcs;Raw Material
02-0000057;Εξαιρετικό παρθένο ελαιόλαδο με βασιλικό, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000058;Εξαιρετικό παρθένο ελαιόλαδο με λεμόνι, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000059;Εξαιρετικό παρθένο ελαιόλαδο με πιπεριά τσίλι, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000060;Εξαιρετικό παρθένο ελαιόλαδο με σκόρδο, Παλετοδεξαμενή IBC;litres;Finished Product
02-0000061;Εξαιρετικό παρθένο ελαιόλαδο με τρούφα, Παλετοδεξαμενή IBC;litres;Finished Product
05-0000098;Kεντημένο μαξιλάρι;pcs;Finished Product
07-0000226;PACK CAPS.TER. 41,5X35 TRASPARENTE Shrink sleeve (500ml) Vetroelite T02382;pcs;Raw Material
07-0000227;PACK CAPS.TER. 36,5x30 TRASPARENTE Shrink sleeve (200ml) Vetroelite T02383;pcs;Raw Material
728;;;
